epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.438,1.63089,3.02636,1.41029,0.51522,0.31751,0.38729,0.22507,1.43449,2.34464,1.3346,0.00048343,0.00048343,0.00048343
2,220.209,1.46724,1.57932,1.29097,0.66601,0.56644,0.63054,0.3584,1.44968,1.64133,1.30909,0.000886161,0.000886161,0.000886161
3,314.769,1.41872,1.55542,1.2776,0.58207,0.59119,0.58231,0.35478,1.46816,1.86367,1.32373,0.00118987,0.00118987,0.00118987
4,410.261,1.34309,1.4158,1.24503,0.67581,0.54424,0.62035,0.37122,1.36564,1.45507,1.27026,0.0011719,0.0011719,0.0011719
5,508.43,1.33835,1.34177,1.23719,0.71211,0.72657,0.75126,0.45524,1.35528,1.37312,1.24613,0.00100687,0.00100687,0.00100687
6,603.914,1.28817,1.10471,1.18036,0.73183,0.76377,0.78514,0.45561,1.37145,1.06684,1.24309,0.000841835,0.000841835,0.000841835
7,699.981,1.28719,0.96963,1.18343,0.80847,0.73024,0.80525,0.45677,1.44187,1.11924,1.27674,0.000676802,0.000676802,0.000676802
8,797.111,1.25133,0.9009,1.16841,0.82654,0.70988,0.83769,0.50286,1.32853,0.95611,1.20235,0.000511769,0.000511769,0.000511769
9,891.356,1.19066,0.81962,1.13685,0.80027,0.76347,0.84489,0.52292,1.31061,0.93498,1.19972,0.000346736,0.000346736,0.000346736
10,986.74,1.19101,0.75956,1.12346,0.7633,0.84333,0.83563,0.51184,1.31036,0.95188,1.19358,0.000181703,0.000181703,0.000181703
